1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
67572214,60856487,61887987,64318344,64907863,64525749,63879652,65732036,63656057,62290138,63896945,67588402,65716083,67042110,59706840,63792202,66182440,65977060,61254150,61572874,62077528,62376540,62261447,63128290,62287485,66858758,66530473,64886375,66700956,68667642,66305194,65916678,62081549,60902397,74576799,65844394,61850669,66492819,67057544,68514240,63938096,64634903,64110714,60127367,61814306,64878789,64699396,63796310,63610844,60112021,62002475,62482059,61021941,64851627,65701109,63059360,64789609,64159409,63489399,64055741,60861407,62352558,61464738,63004221,61402597,66182965,63128496,67582137,64238535,64740602,60726667,68104990,69714631,67787946,61757623,65604654,61831545,64124042,61400809,66708814,67625857,58853477,62834687,64659372,62056644,69400899,66974801,68410038,62906516,61769406,62205882,58454268,64902724,67611213,72095437,66755126,60763068,64038780,67039089,65240273
1,0,0,10,0,13,0,5,0,2,8,6,2,2,6,0,4,0,8,184,0,19,0,48,3,4,7,1,0,3,2,1,6,2,9,0,10,24,11,2,3,3,31,24,10,5,2,25,2,9,0,0,10,14,1,0,4,1,4,6,2,24,4,4,1,6,0,8,0,5,18,46,8,8,0,3,1,5,12,4,8,19,16,11,1,1,2,5,11,92,3,1,11,3,5,4,1,5,4,0
8,7,3,4,7,7,3,4,2,1,2,20,9,0,2,5,8,4,1,2,26,9,2,6,7,30,7,96,3,9,6,2,8,2,7,13,4,13,2423,2,4,1,4,3,0,3,0,10,7,3,6,5,3,16,4,4,1,10,16,2,0,6,2,2,1,3,3,49,2,15,0,8,4,2,3,8,5,16,4,4,71,16,6,0,44,6,4,2,21,0,3,4,3,2,2,1,2,4,51,3
3,10,1,4,3,16,2,2,7,45,17,1,7,2,5,1,27,0,0,6,6,2,5,1,5,2,1,11,2,6,1,15,3,6,0,7,15,3,0,0,1,3,1,5,4,1,5,0,4,0,15,8,18,2,36,2,1,26,4,13,2,3,9,2,1,12,14,6,3,13,0,1,4,8,7,3,1,3,16,8,0,2,30,32,0,3,16,0,0,21,0,13,26,19,0,1,12,3,61,122
0,4,0,0,23,35,0,10,1,3,5,10,90,0,0,33,0,0,4,5,17,17,1,16,3,0,0,211,18,4,5,1,27,145,33,1,65,15,2,2,13,4,64,7,6,2,1,0,5,25,1,7,6,5,12,30,2,2,5,0,2,10,3,9,6,35,15,1,1,19,1,8,4,11,2,1,15,3,1,1,9,3,5,3,5,17,1,2,0,83,6,10,1,0,0,3,0,18,2,1
18,22,0,11,8,5,2,2,9,4,5,7,12,10,6,1,3,8,2,10,18,6,0,3,3,0,25,3,2,2,32,27,4,1,37,7,1,6,5,111,0,4,6,9,4,8,0,9,4,3,55,3,0,28,2,1,0,110,1,8,1,7,5,8,1,2,7,1,16,4,1,2,6,7,1,1,7,6,13,10,6,17,19,0,1,1,0,10,12,2,15,8,5,0,0,7,44,13,25,0
23,7,4,19,2,0,0,3,24,1,8,17,0,3,6,46,50,2,2,4,5,11,1,2,9,6,2,7,9,4,4,1,7,3,2,0,3,0,0,5,7,4,6,1,1,2,1,11,30,3,6,16,6,15,62,4,21,0,5,1,2,6,30,11,20,5,8,13,25,4,3,43,4,11,7,9,30,2,8,12,6,0,3,0,1,6,5,5,2,47,2,2,2,1,5,0,3,1,31,5
27,10,0,1,3,3,7,3,1,9,3,2,3,6,3,1,7,4,8,11,6,0,53,0,2,8,3,1,4,61,2,0,12,36,120,84,4,0,1,68,10,4,2,8,8,0,2,4,3,57,2,11,15,8,10,7,17,1,7,7,0,11,2,6,0,5,5,0,3,1,4,4,0,2,8,5,8,4,23,10,2,2,1,0,14,14,1,4,0,0,2,9,23,7,9,60,7,15,9,24
58,16,3,56,17,13,2,2,3,2,1,5,2,2,4,7,2,53,1,9,7,0,2,5,5,1,4,4,64,4,2,57,3,6,4,5,9,1,1,6,2,18,1,6,4,0,11,2,1,0,0,3,2,8,11,7,5,0,4,9,12,18,16,6,1,2,2,2,7,1,4,4,2,15,1,0,9,0,7,6,9,1,8,1,2,4,2,1,7,13,5,2,2,4,1,13,9,0,19,1
4,1,6,1,8,0,2,65,64,30,2,3,4,7,3,8,8,7,0,12,11,1,9,0,7,6,7,3,4,9,0,0,8,14,5,9,3,7,5,50,11,4,7,2,2,12,4,3,1,2,1,7,2,3,1,13,13,5,1,18,8,19,34,52,0,2,7,7,6,8,9,2,11,7,2,4,8,10,4,11,4,2,10,4,1,13,10,5,3,4,1,25,2,0,1,4,3,103,3,0
