1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
57462418,56823228,53966072,54281092,50616565,56846219,53980873,55346406,52856618,54508876,54761472,52021658,53154036,52081228,53762052,56454136,53413168,54560181,55784492,55471254,52404623,53929639,55507697,52763751,51772788,53080073,53991968,54556635,58343419,54728162,54171566,55767331,51559033,53213854,54777221,55269638,53693674,55328417,53867946,55755314,56755575,57549916,54113842,54354937,50992269,55593290,52863625,54833641,53517234,53731653,54449635,52816036,53970611,54726446,56139968,51186860,55733919,52212239,55986754,52506644,53731814,55150722,52664545,54110466,55497457,56487627,55281842,53676495,55517783,53531967,54065389,54880349,52668903,57293857,52289510,50613445,55702956,54452647,54052734,54865189,52147261,52646501,57398323,54816966,53835918,53008180,52044883,56451746,52813359,54600276,54343132,54416472,54022760,52419750,55733504,53650886,53711686,54769367,54708813,52077111
4,2,5,2,0,4,5,1,4,17,14,12,15,8,5,5,1,1,2,0,10,6,4,2,1,3,22,16,6,0,0,1,37,2,24,2,3,0,0,6,11,4,7,2,0,2,2,10,16,12,0,12,16,68,2,6,5,1,243,1,6,1,0,4,8,4,1,1,5,17,8,0,1,8,0,6,0,1,0,1,89,0,8,36,1,5,2,2,0,0,7,2,12,1,4,3,102,1,1,10
60,4,0,0,3,2,3,3,3,70,0,1,1,1,1,5,1,3,2,14,0,8,60,5,2,4,0,12,0,2,4,19,3,4,1,1,11,3,10,1,24,35,3,0,0,1787,1,0,5,3,70,3,14,6,2,0,3,0,1,2,7,10,4,21,7,2,3,6,2,3,11,0,5,1,3,3,2,0,1,2,0,0,3,4,57,2,3,0,1,6,7,4,5,0,1,0,32,7,2,1
1,0,2,1,114,2,6,1,0,1,28,0,2,3,10,3,17,13,0,3,2,5,5,19,23,10,0,1,2,2,8,1,0,26,17,17,192,6,8,2,1,10,2,0,1,6,2,11,4,1,1,2,6,5,4,5,3,3,3,2,11,0,3,10,2,4,46,5,10,62,130,0,0,0,19,2,0,5,6,1,0,45,3,29,0,0,3,6,2,0,6,3,1,0,5,32,3,22,6,4
1,23,4,8,2,0,0,11,1,7,7,5,6,15,18,91,1,2,14,4,3,1,9,7,3,6,12,7,22,3,6,1,0,5,3,3,1,0,9,0,2,1,1,0,13,1,8,5,7,0,3,0,20,15,0,0,22,4,4,4,6,0,6,30,5,0,22,2,2,1,0,3,2,17,10,0,8,4,11,4,4,5,0,5,18,1,7,1,13,13,12,0,3,23,4,1,0,2,15,0
4,7,3,4,0,2,379,11,4,58,2,1,3,11,53,22,11,49,0,1,49,2,10,6,3,6,1,0,5,4,12,0,1,3,10,1,3,2,2,68,2,2,2,3,3,6,2,0,0,4,0,1,4,5,0,1,0,0,4,0,0,0,0,1,0,14,3,37,0,44,10,3,0,1,10,4,5,4,0,2,23,0,0,7,0,8,7,7,2,3,4,0,3,10,6,7,1,7,2,3
0,0,0,2,25,5,1,1,5,5,0,6,6,0,7,8,25,3,1,0,0,6,4,3,3,5,1,1,2,38,2,12,2,1,31,0,13,0,2,8,15,11,5,42,3,3,3,0,3,2,2,1,3,1,18,3,1,0,16,2,0,3,1,7,13,3,1,3,2,7,3,1,0,0,1,2,22,28,0,60,1,0,5,0,0,4,7,35,51,11,8,4,2,5,18,9,4,0,2,12
17,3,0,3,5,5,0,51,0,1,1,5,8,1,32,3,1,3,1,1,0,6,7,2,1,5,2,6,3,4,8,9,2,5,6,7,3,21,0,0,1,8,0,0,21,8,8,1,0,0,3,5,6,1,1,0,9,6,8,2,0,4,5,1,2,3,1,1,5,6,519,10,3,2,3,7,0,0,9,0,1,0,1,2,0,1,6,6,5,1,4,3,6,1,4,3,6,8,0,1
2,5,1,1,4,2,4,3,18,0,5,2,5,2,1,0,2,1,1,5,9,15,84,1,0,6,11,3,6,3,1,0,7,2,2,3,8,1,0,1,0,0,0,93,1,12,24,0,4,0,2,0,6,2,7,18,0,7,5,1,7,6,1,3,1,15,5,8,9,0,15,0,18,2,2,5,0,1,8,1,19,16,12,5,2,9,7,1,2,0,3,5,9,2,0,2,16,2,11,5
2,2,5,21,5,7,3,17,1,7,0,5,8,1,1,17,245,3,2,2,2,0,1,16,1,0,3,0,2,24,7,0,7,0,3,2,1,6,0,2,8,6,67,535,0,1,4,6,11,4,1,5,24,4,6,18,2,76,8,3,4,25,0,2,4,1,14,2,3,7,0,1,3,3,3,2,5,6,40,5,1329,10,19,4,13,1,8,7,16,19,70,1,0,0,4,1,2,0,3,1
10,9,0,1,1,4,53,4,4,27,1,24,2,8,13,0,9,3,1,18,4,20,3,0,4,10,4,8,0,15,2,0,2,1,8,8,6,16,0,0,5,2,16,9,4,2,2,3,1,3,0,3,30,0,6,9,1,4,1,1,0,6,1,0,2,49,0,2,2,14,3,0,2,1,0,1,0,7,4,4,1,42,1,2,42,2,1,8,8,8,4,974,4,15,0,0,2,3,0,2
0,1,7,9,1,32,19,1,4,2,1,4,1,0,12,11,3,1,2,2,2,7,5,5,3,37,0,2,1,0,0,0,0,6,3,13,16,3,10,289,35,5,3,15,4,19,1,10,17,1,4,2,11,10,7,4,2,37,39,0,5,0,6,8,4,8,3,3,2,2,0,4,2,19,0,2,4,8,5,5,23,2,1,25,4,15,2,2,6,1,1,7,10,0,1,6,1,26,3,3
1,0,3,0,9,2,7,3,0,1,0,9,0,0,3,10,34,1,1,1,4,7,1,1,0,0,2,1,0,4,13,4,22,11,1,5,6,19,2,4,5,1,8,1,2,2,3,10,18,240,25,12,2,1,3,1,3,0,4,0,2,0,2,4,0,2,3,18,6,6,0,24,3,46,1,13,8,1,0,3,14,2,10,9,3,19,1,1,1,1,4,5,65,5,0,4,8,2,2,3
4,249,6,6,4,6,4,5,3,0,2,8,1,0,7,1,1,0,3,1,2,10,0,20,0,2,2,5,9,3,3,1,18,4,734,0,8,17,1,17,0,0,1,2,0,0,25,3,2,0,1,10,25,1,2,4,17,1,9,0,15,2,6,2,4,3,5,39,8,2,20,7,0,20,12,13,14,0,0,4,7,0,17,7,16,27,4,1,6,0,5,0,7,23,5,0,14,6,37,14
3,2,2,0,3,2,3,0,1,2,2,1,1,6,6,4,641,1,1,14,0,0,15,0,1,1,2,1,17,24,0,1,4,7,5,7,5,12,24,9,0,6,9,15,3,122,4,0,8,0,6,0,12,0,0,0,21,2,5,20,9,2,19,3,2,29,3,5,3,3,3,3,0,2,12,1,6,6,2,1,6,1,8,20,3,454,2776,10,3,2,0,1,9,0,3,4,4,5,0,0
5,8,5,0,0,4,3,14,2,1,6,3,2,3,1,4,2,3,1,0,2,2,7,551,8,1,0,7,1,4,12,2,22,3,4,1,3,3,35,10,29,1,0,76,7,39,3,10,2,21,2,3,2,6,5,1,4,3,2,2,5,24,4,2,0,7,8,1,0,0,0,2,1,4,24,5,1,1,0,1,115,0,13,8,4,5,7,4,13,5,1,14,3,7,5,7,2,1,5,2
2,5,4,6,2,2,1,0,3,5,4,0,6,2,2,10,5,4,2,1,2,2,2,12,11,2,2,14,0,2,6,8,3,5,2,20,11,2,1,3,2,0,0,0,4,1,41,7,19,19,17,34,12,1,8,6,12,2,5,4,197,0,0,2,22,4,1,2,37,1,32,0,31,2,2,0,3,1,229,2,4,3,1,3,60,23,7,15,1,7,1,0,0,1,2,0,94,3,0,1
