1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
154120277,166453269,165584018,168120805,156892445,154706150,153140514,158553717,157218727,155910241,158035160,157302347,157839948,161723357,158045846,162614232,159917825,154376123,161541746,163742754,162159939,159693709,159386936,155749960,160403105,164799924,160295570,164121919,161949241,163288726,155567784,163702130,148504139,155412737,161513129,157410736,157220706,157641502,157534973,159820475,160738796,163676933,159394508,154518054,167442552,169160392,159311623,165525707,153863029,160147227,158356740,152555546,155883191,167051769,162009126,158931237,160176619,160519821,160566846,157990208,161671021,150793155,163687409,159233936,163120661,162665016,161302728,160748735,164374616,156729698,162013205,159656243,157702622,158265162,160699429,155904614,160130084,156141030,154568025,155107112,159519556,162575616,164116854,163677753,156714604,161114143,159606179,161426011,165791491,171595323,151528465,164013300,160461610,156122023,161216768,164384406,159380952,154614791,161704059,157987481
35,7,12,10,8,33,49,11,4,5,21,9,12,12,26,3,19,5,33,61,10,10,12,12,17,3,10,12,3,10,8,36,6,9,2,13,32,1,11,14,10,13,9,5,17,25,8,36,21,34,36,17,6,3,13,7,8,10,13,4,7,25,18,8,31,7,33,9,32,25,15,26,7,646,33,23,2,23,23,129,2,8,13,67,3,4,2,13,2,7,26,10,10,13,3,6,3,8,32,24
5,3,16,13,27,23,28,4,60,5,9,22,34,30,11,16,89,6,1,19,11,8,51,711,3,116,62,8,8,18,7,80,8,2,150,18,6,12,38,13,7,11,15,16,3,11,24,43,16,55,18,13,20,27,39,6,27,38,6,13,5,4,11,1,78,4,40,12,13,34,7,21,26,24,30,44,8,5,16,16,14,5,37,7,9,191,10,21,18,177,16,0,9,720,6,23,8,3,13,9
3,20,44,1,7,14,20,8,22,7,6,17,13,18,18,46,1,7,9,5,8,59,19,17,3,8,11,27,218,22,18,439,8,21,5,15,3,2,5,43,58,28,1,13,19,8,31,17,53,26,3,14,3,2,3,12,16,421,13,11,19,61,10,14,9,5,5,143,14,17,0,5,10,14,20,24,47,29,23,60,1,55,15,16,33,10,9,13,399,7,36,42,4,5,6,109,1,2,5,11
50,6,9,3,12,12,5,64,14,0,63,30,30,4,8,14,23,4,28,23,16,9,14,2,14,24,18,12,9,7,2,7,8,7,7,10,3,11,34,8,14,3,2,11,12,795,28,6,15,10,16,7,5,6,13,23,7,10,26,5,14,13,8,44,4,38,38,17,4,25,8,28,8,10,23,9,4,1,23,17,6,23,15,67,27,54,20,12,5,73,16,10,19,8,7,28,100,11,6,1
53,17,12,5,36,22,7,8,2,147,3,9,9,52,28,16,177,19,18,11,17,25,14,26,4,17,8,14,20,12,5,5,14,9,58,16,237,13,45,20,12,13,10,17,21,29,4,25,15,4,6,5,14,28,24,9,11,18,6,30,8,10,21,5,41,11,4,38,18,7,3,7,8,30,7,6,14,72,34,5,18,17,14,11,14,64,17,4,19,25,7,7,12,11,7,5,56,8,7,4
9,9,12,27,19,21,11,124,7,16,9,1,1,1,6,8,13,11,13,35,29,9,57,15,2,1235,10,11,6,48,12,18,18,6,11,19,18,10,40,12,2,7,102,36,22,154,5,9,7,22,2,8,8,46,18,17,2,51,3,13,30,28,7,58,6,6,3,1,21,3,13,9,6,10,29,6,7,6,3,8,13,44,45,0,25,5,32,10,17,59,13,10,25,36,4,11,18,16,5,13
7,221,17,18,5,84,12,7,26,9,4,24,64,29,14,11,3,38,18,24,18,23,5,40,23,8,31,7,8,18,15,18,7,1,1,100,2,13,6,32,145,43,32,10,14,33,9,9,58,9,74,37,7,3,7,120,12,7,32,9,84,56,8,6,9,4,10,13,18,31,10,18,15,40,5,12,1,5,2,16,11,8,6,45,22,7,62,17,9,11,16,14,60,13,7,22,50,5,14,0
4,29,0,46,16,66,10,4,10,32,25,43,18,22,6,23,5,6,61,66,7,32,14,24,7,22,13,7,13,4,10,14,17,24,8,20,30,5,40,0,31,7,24,20,122,16,3,2,8,2785,10,2,4,25,25,7,20,6,21,18,23,8,10,4,23,11,58,64,23,17,10,10,75,29,144,3,4,6,0,27,8,17,17,12,11,5,19,9,97,201,5,3,38,49,6,6,8,20,7,5
9,8,9,535,1,22,5,27,28,4,9,5,12,31,48,4,7,19,41,1,6,17,10,4,10,13,10,45,3,11,13,2,12,8,30,5,23,1,11,16,6,3,15,3,11,17,17,9,11,13,12,41,12,48,12,12,15,23,24,9,7,15,62,7,25,20,16,138,10,15,14,4,3,9,9,26,227,9,8,15,15,6,28,6,6,25,10,11,40,15,18,5,41,15,4,86,10,12,20,11
