1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
158777137,161041023,161060459,157306989,162482785,162683952,160746484,164830983,160189000,160507251,167998049,160413081,164560844,163333247,159305185,161331198,156656752,155573576,150486068,159719536,162353238,167108058,165064272,163967180,167632888,154816958,161205493,158588591,166216593,156807012,163285295,156332101,158801516,159975348,151031377,162841380,159525173,158585462,153797952,161057263,160399756,162884614,158241828,161109970,164891343,163553832,162081282,161446463,161518608,153974938,159134472,163463042,152432450,169722119,159082743,165998975,157716563,159025070,155786657,165579591,156573394,160290618,161106813,154963287,166057278,156747275,159440649,162862493,153606057,163745952,162074078,165422464,155471782,159900237,153176919,159639016,171109338,158079240,159791675,158499647,158104694,154350838,158428842,162485602,167242385,159567670,161136235,162223244,164078808,153908323,161382854,168270505,160391577,167202496,165324026,157025569,154117622,164579681,158226482,164057401
64,11,35,35,24,17,13,1,31,14,1,9,9,23,21,284,364,5,9,6,12,6,11,21,273,16,11,7,57,7,53,21,13,14,20,42,31,22,8,28,11,7,8,18,12,8,9,16,9,6,14,173,6,28,22,29,15,11,15,8,9,14,25,2,16,33,37,16,10,20,18,9,0,12,303,14,5,6,3,14,16,10,70,2,5,8,28,9,13,20,3,14,150,2,58,15,9,20,28,30
54,9,61,27,63,2,32,31,6,16,29,3,37,6,36,10,18,59,32,35,36,21,30,6,8,12,18,11,296,13,9,19,32,14,191,17,108,31,112,11,10,6,18,10,13,30,28,699,13,16,6,29,13,4,8,17,24,30,17,6,37,0,9,37,17,9,4,17,23,7,53,13,3,20,5,3,6,23,7,9,40,7,5,7,64,5,11,2,3,25,16,17,6,8,121,10,12,4,69,18
17,8,224,5,7,6,30,182,7,119,58,6,20,34,29,5,55,2,25,5,7,1,17,124,15,30,4,11,10,4,4,20,9,6,22,61,28,1,25,23,10,42,39,9,12,5,59,9,38,4,14,2,154,10,12,6,23,25,36,19,32,10,25,20,7,17,71,9,4,12,18,59,9,36,8,32,13,31,3,13,39,5,7,7,1,42,7,64,21,4,72,10,83,3,15,11,4,10,12,32
9,5,8,10,12,12,6,103,81,30,12,51,2,31,16,62,7,37,20,1,14,57,24,276,15,19,4,14,4,20,31,13,0,16,36,30,15,13,16,123,32,21,9,1,8,37,17,22,35,60,12,49,14,22,5,13,34,37,13,6,58,32,14,26,14,24,20,6,50,6,87,9,63,3,15,6,86,21,32,5,18,14,35,6,25,11,27,15,4,19,14,57,23,70,36,19,4,28,6,130
13,20,20,12,9,5,9,3,5,6,10,8,22,10,15,21,16,30,144,35,7,6,5,10,8,71,26,13,39,17,1,9,18,19,14,30,35,26,5,13,8,19,13,12,2,5,17,51,11,15,13,12,19,209,24,11,5,1,4,5,6,7,7,13,20,6,18,22,12,10,23,7,0,7,3,12,15,14,30,35,19,2,5,10,22,4,20,14,16,8,38,11,3,8,12,52,15,17,18,16
37,9,26,4,43,99,19,8,13,2,13,41,6,42,13,10,22,12,15,3,6,70,35,12,19,74,37,19,18,11,40,12,46,3,31,22,40,12,11,34,5,27,8,16,103,4,26,31,22,9,19,10,3,5,45,8,4,6,20,13,5,48,2,6,224,0,10,16,69,14,9,14,27,9,13,54,5,21,7,4,19,16,11,25,6,10,5,22,67,7,14,18,12,19,25,7,6,12,1,17
53,99,32,2,1,46,6,6,20,11,17,27,15,66,13,8,12,6,26,20,22,17,3,13,22,19,17,25,9,2,214,4,17,17,8,41,12,18,37,24,4,17,3,10,32,4,29,10,8,5,28,22,9,4,10,38,20,5,14,2,15,6,12,3,203,110,10,8,14,14,14,9,10,8,5,14,19,15,23,22,61,11,33,26,7,29,3,42,6,103,11,20,10,14,10,4,4,6,12,3
17,10,61,12,7,12,7,9,8,9,53,11,5,20,123,15,10,11,114,25,10,11,209,12,16,21,4,17,13,31,78,733,4,60,8,11,3,15,2,9,28,4,7,9,79,61,7,5,9,8,6,5,8,9,3,45,10,4,7,20,8,10,8,12,11,5,60,11,10,17,250,2092,18,26,24,28,16,11,8,24,12,13,26,50,15,56,16,1,26,6,2,190,4,58,7,24,13,17,13,20
7,20,23,17,28,57,17,31,27,52,10,18,11,3,4,3,9,24,6,15,5,14,14,13,4,6,7,24,7,4,8,36,12,11,9,91,14,7,1,173,15,8,27,67,11,11,50,1,15,47,12,6,14,16,3,76,58,10,27,8,6,24,6,5,7,16,10,15,5,127,19,4,13,10,11,19,19,11,13,25,3,16,39,7,5,12,20,8,2,4,6,7,18,9,34,5,11,32,41,18
5,19,17,71,21,27,25,21,23,15,28,164,33,17,18,27,24,9,17,43,20,6,13,9,7,9,14,28,9,34,22,22,11,8,9,4,12,5,25,11,45,58,9,13,2,24,8,216,17,10,12,12,6,36,8,17,11,98,18,12,5,23,9,6,9,11,60,17,154,21,41,15,16,32,39,7,8,13,17,19,10,5,7,96,15,125,39,32,28,6,7,123,4,9,52,4,307,21,15,19
501,24,42,18,64,4,2102,44,23,6,16,14,10,2,14,18,9,27,11,25,6,19,11,29,24,3,9,13,36,109,10,2803,4,13,7,22,59,16,9,86,6,36,27,11,21,5,37,18,41,8,14,16,19,12,32,12,8,32,60,7,15,197,3,9,17,5,5,10,13,5,9,9,3,114,71,11,56,7,2,7,3,27,13,13,21,2,5,11,4,29,13,42,7,95,29,14,8,62,2,16
