1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
44316865,42538030,43943669,43026458,42123293,43437947,48082068,43762518,41814286,41257338,45583052,42087399,43565321,46998278,44518250,40624584,45527853,43222319,44937615,44264878,42045089,43327231,46026077,44029658,46966150,44103821,43116568,46275278,45160166,45665909,44218514,41514228,43590976,44233529,42822668,47294568,42318900,39836525,44781992,48427849,44387553,42094588,43485483,42983461,43676364,44889963,43954298,45725047,43217883,45331034,46848404,45079981,44235213,42574841,43091700,43113758,43160741,42457927,43399269,39803553,46067881,46390687,44284752,44782179,45709409,44233297,43290825,44187153,40900724,40460701,44904482,43847500,39733291,42511310,46137339,46871301,46860816,44226480,46274315,42577881,48310908,44705465,46996960,46293346,46002849,46398995,44214818,41086932,43741277,42948804,43511691,44828093,42109797,46344350,46342043,43692277,44360163,47221186,44939449,48493694
2,0,2,3,1,0,0,0,0,1,4,0,6,3,4,0,17,10,0,6,0,58,2,10,14,9,2,6,3,4,2,1,2,1,0,0,1,2,1,6,1,6,35,4,1,2,59,3,1,11,5,8,9,2,0,0,4,3,0,4,2,2,6,4,0,0,5,2,7,3,0,0,0,0,4,0,0,2,33,8,75,1,0,5,6,25,1,4,1,2,3,2,19,4,0,3,0,5,14,0
9,5,1,0,0,2,2,4,11,2,9,0,2,3,4,0,4,1,4,6,2,2,12,2,0,8,0,105,1,6,1,121,0,53,3,4,0,2,2,0,14,6,2,3,0,3,0,6,0,1,2,13,0,0,0,11,1,0,2,7,0,23,4,1,6,2,1,4,1,1,0,1,1,5,14,0,4,17,2,0,1,2,5,2,0,0,3,2,13,8,3,0,0,2,2,0,1,2,1,14
3,11,0,2,1,4,0,1,20,1,1,12,0,1,2,5,1,1,16,0,9,7,6,1,4,2,0,0,5,4,1,0,0,1,3,8,4,0,3,2,0,2,0,64,4,0,2,1,2,25,2,0,2,2,4,2,0,3,0,2,1,2,1,3,1,7,0,0,0,4,6,3,26,0,2,7,0,2,2,49,0,14,1,83,2,1,5,3,6,13,0,184,2,31,22,1,1,1,0,0
1,5,4,8,0,2,2,1,0,2,2,2,3,1,2,6,0,74,2,4,2,1,2,0,1,5,11,3,4,51,5,0,0,1,6,3,0,4,1,3,0,9,4,0,14,4,0,8,3,1,2,4,6,2,4,16,4,0,13,19,7,0,0,7,6,1,21,3,9,4,1,2,2,7,2,40,0,2,8,1,8,1,1,3,2,23,2,2,1,2,3,4,9,2,1,0,3,1,11,1
9,0,4,1,5,2,3,0,1,3,0,6,0,2,10,3,0,0,0,582,2,3,17,1,1,0,2,0,3,7,0,0,14,0,1,8,0,0,4,2,1,8,1,3,354,47,4,1,2,8,53,4,0,1,2,11,8,19,2,12,0,4,0,13,1,1,2,8,1,0,0,2,7,1,2,0,1,0,2,192,0,4,5,5,6,0,3,2,0,2,8,1,8,9,9,0,3,2,7,1
1,8,5,1,4,16,40,1,3,8,6,31,9,2,1,8,4,0,1,2,0,16,7,0,2,3,4,111,6,8,2,0,31,1,26,7,0,0,2,2,2,1,3,0,0,1,2,2,2,2,0,8,10,9,16,1,2,11,1,1,4,0,1,2,5,0,16,3,4,9,2,4,11,3,3,2,0,5,0,2,1,0,5,16,3,2,2,10,1,2,0,1,1,3,4,0,3,2,2,0
0,0,33,0,0,1,10,1,1,3,2,0,1,10,2,2,3,0,0,3,1,0,36,1,0,5,4,3,0,0,2,13,0,0,0,3,1,80,4,8,367,9,3,5,19,0,7,1,1,0,3,1,0,1,1,4,1,10,0,2,0,0,1,0,0,0,2,4,5,0,10,7,1,6,11,1,97,1,105,2,3,3,10,0,22,3,37,2,0,0,57,5,4,1,46,2,1,0,5,22
2,0,6,57,1,2,6,6,9,11,1,2,1,8,22,0,4,29,5,1,0,1,9,0,0,2,0,27,1,2,0,6,2,4,11,0,0,3,4,0,0,1,0,29,2,3,1,59,0,0,2,0,2,0,4,17,2,2,55,0,4,0,10,4,1,15,4,6,6,0,1,1,13,16,4,0,3,32,9,1,1,1,2,0,2,0,10,0,2,2,45,0,1,9,0,13,8,2,0,2
0,3,7,0,1,2,1,2,2,0,9,5,2,8,1,4,1,3,0,17,4,4,13,0,4,0,0,3,2,0,5,3,5,12,0,2,2,0,3,22,3,0,19,3,10,2,7,1,7,3,4,2,0,2,309,0,44,20,2,0,10,16,0,0,4,4,0,6,1,2,0,0,0,16,5,3,7,0,5,2,0,4,0,8,7,0,0,0,0,57,0,0,1,3,2,8,8,5,2,12
4,1,28,0,1,5,1,1,151,4,26,2,3,0,4,1,8,2,6,11,1,3,6,0,7,0,7,52,0,5,0,1,2,3,9,1,28,0,2,4,13,0,1,0,1,0,26,1,1,3,1,0,388,3,2,4,1035,2,9,0,29,2,3,1,6,5,1,5,0,2,1,2,4,1,0,0,0,1,1,16,0,7,427,14,21,8,0,7,1,0,0,2,0,5,3,0,5,3,3,5
1,9,0,9,0,297,0,0,1,2,4,0,2,0,0,2,2,1,2,7,0,0,2,2,4,2,2,0,33,4,0,1,2,2,0,5,3,8,16,0,2,0,4,2,1,2,0,0,3,1,3,0,13,1,14,3,0,0,1,0,3,1,28,1,9,9,6,1,9,31,0,6,0,3,1,5,0,6,5,1,2,0,0,10,3,2,8,0,1,4,2,1,4,4,0,12,7,4,4,0
