1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
9850517,9028292,7537571,8568524,9103276,9873469,9843834,8743947,9210172,8083560,9443625,9886920,8896082,8898366,8151789,8359762,7982396,8167867,8192325,8841155,9149867,8685037,9128503,6787962,8314121,8516071,8077724,8693595,8857067,9367359,8987396,9373544,8039254,8593775,9838104,9175702,8055993,8034197,9021070,9138970,8261384,9118714,8606845,8705125,8398136,8275848,8765255,9047985,8093760,8529573,8691976,8257568,8152587,10902209,8777599,7527147,9773767,9415559,9047394,7698627,8648310,10194783,8928503,8212425,7523646,8770297,9250855,9227375,8851361,8627059,9315095,9444798,8868358,9866325,8265094,9283212,8552704,8825894,8911207,8448920,8530186,9919887,9394357,8786538,9102799,9511838,8336808,7638340,9106339,9057332,9499789,7945423,8145891,7606715,9874810,8155977,8589218,9146150,8616313,8015887
3,5,0,5,27,10,9,5,13,76,4,6,11,12,11,5,6,3,13,2,3,8,26,1,9,3,1,3,12,8,23,3,2,5,16,7,13,8,8,9,4,3,9,13,145,6,144,11,3,10,8,10,8,10,0,1,6,1,21,2,7,9,0,7,1,15,6,5,2,1,3,0,1,3,66,16,6,944,17,17,6,1,7,10,18,5,3,14,2,3,6,3,0,7,10,1,7,3,1,9
6,2,1,16,6,2,13,6,220,8,7,6,4,8,4,3,3,1,3,14,6,39,6,22,6,9,10,7,2,2,8,5,0,1,4,42,2,0,14,9,4,0,1,5,10,0,2,15,3,8,8,38,0,9,17,9,17,9,22,1,7,2,5,2,2,3,10,5,10,2,1,4,22,16,4,2,4,1,5,13,34,2,14,2,1,67,17,5,8,8,1,5,3,15,5,4,2,26,0,5
259,38,1,3,24,68,28,131,6,8,0,23,1,1,4,5,1,2,45,1,2,2,1,29,8,8,19,16,5,28,16,18,3,15,9,19,8,2,4,31,4,5,3,2,5,12,6,7,7,18,15,1,3,47,18,5,5,2,16,2,20,13,3,0,14,8,2,12,33,3,12,1,0,10,7,11,6,1,3,2,28,5,38,10,7,0,6,38,2,1,11,129,3,3,8,26,1,21,3,29
25,56,5,13,4,4,5,6,8,11,9,8,3,15,0,42,4,1,2,10,2,9,1,6,1,9,4,10,5,5,20,1,14,2,1,14,9,4,0,9,5,4,29,2,31,2,2,17,6,6,16,6,16,1,2,3,4,46,11,4,7,63,25,5,2,4,5,4,4,1,2,14,2,3,2,4,29,2,0,3,27,10,6,21,4,18,2,38,3,6,22,2,14,2,21,5,1,21,1,0
0,4,12,8,2,1,7,6,5,7,63,2,14,4,6,0,6,4,1,9,2,17,41,3,2,23,1,5,0,5,5,7,1,2,1,3,11,12,8,224,18,2,5,88,4,55,11,21,8,48,1,6,13,20,3,1,24,0,4,4,1,2,8,1,0,39,4,4,45,3,22,15,3,21,3,4,4,6,28,8,0,10,4,6,17,15,11,2,4,0,10,9,5,79,44,24,4,13,4,3
15,1,3,8,4,5,39,3,11,6,2,5,2,15,4,3,5,6,18,4,2,2,4,8,26,4,4,1290,106,15,10,6,7,2,14,16,4,19,2,6,0,32,1,24,4,39,3,2,1,18,2,122,4,6,0,36,76,16,6,6,1,16,12,8,16,0,8,4,1,3,1,2,55,2,4,7,0,18,7,1,94,46,13,10,3,10,2,0,0,2,16,6,36,25,11,3,9,1,0,6
5,7,0,14,24,8,4,1,10,1,2,17,4,0,3,3,2,3,13,11,1,1605,4,5,38,13,7,3,6,18,2,85,13,5,4,1,6,2,5,2,28,2,18,7,5,8,20,10,6,58,2,30,2,19,3,4,8,4,13,1,7,10,39,7,23,215,12,14,10,3,4,6,6,32,202,0,17,10,4,257,3,1,10,1,29,15,40,5,4,9,8,1,24,36,13,1,24,3,14,10
19,4,10,1,10,4,8,6,21,34,6,3,9,0,2,84,15,2,2,11,7,13,2,2,0,33,8,9,12,3,3,6,25,0,3,1,7,0,2,2,7,12,9,23,4,46,10,5,3,0,40,1,13,0,4,11,8,2,16,9,21,35,11,4,253,9,0,9,4,5,4,7,3,2,207,4,7,16,6,0,2,1,37,4,10,7,0,1,6,1,8,3,5,7,3,18,6,25,7,1
3,8,4,54,27,6,11,11,2,9,66,32,5,4,7,4,2,36,13,698,5,138,0,4,3,16,4,8,5,7,4,4,5,7,3,388,0,0,28,18,2,9,25,20,5,8,5,22,31,2,9,6,2,8,15,8,36,14,83,21,0,12,2,4,5,111,27,10,9,3,1,42,13,15,1,11,161,4,6,6,1,13,4,219,4,5,2,2,3,15,41,3,4,6,1,4,41,5,4,0
