1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
17357101,16921007,15877062,17553792,16608416,15639804,16093676,17367470,15805439,15875212,17557516,15630541,15980261,16567699,17142491,16738788,17136545,15813726,16514187,17296996,18065877,15541043,16450026,16457918,16690492,17768160,15837129,18786171,17862139,16766590,17666573,16775324,16340998,17703737,16692501,16484639,17652143,17366588,15845764,15743619,16305489,16328328,17065805,17315274,14993761,16072773,16127375,16371769,18528534,16285321,15930647,16114390,16798004,17569069,16705573,16576274,15185974,18089118,17028902,15800352,17083820,16356746,16701296,17792062,16131544,16785363,15810959,17628387,16641952,15598343,16709351,16259963,16742009,17360591,15482374,15890483,17663546,16613769,18488510,16699414,16520810,15647109,16993760,14764874,16325104,15784535,16901337,16441895,17327005,16471076,16190851,16393742,16234922,17734772,15983190,17835439,16252169,16633217,14968436,18364245
8,8,13,2,18,28,18,23,159,1,4,9,40,26,18,23,73,6,126,12,19,6,8,26,15,14,3,6,12,18,326,34,3,59,21,4,5,91,21,57,106,32,1,14,2,6,8,2,17,26,17,29,17,8,35,8,4,14,8,2,33,9,20,195,16,25,10,20,9,9,11,17,12,14,8,26,9,10,158,5,22,13,8,15,2,46,10,335,9,38,25,7,39,9,30,13,18,15,12,37
39,7,11,25,7,14,13,5,3,5,123,7,14,5,9,4,10,10,34,16,78,4,33,6,3,6,63,13,1,476,28,22,7,7,9,9,15,19,7,69,14,36,19,96,5,18,18,14,57,27,30,43,5,60,63,7,6,11,17,12,8,9,4,20,5,36,3,25,27,15,15,3,119,14,3,8,42,12,113,25,1,19,34,5,11,8,10,20,37,14,28,18,29,1,24,7,15,6,9,7
7,10,20,7,19,12,17,6,34,6,28,23,15,31,4,7,14,20,2,14,16,152,19,11,4,912,24,13,41,33,5,13,22,62,17,28,10,17,21,21,28,11,15,17,75,8,7,8,107,11,5,21,30,19,8,51,2,72,16,14,13,24,31,11,39,8,17,36,7,20,55,8,13,16,22,15,11,23,7,13,15,15,18,3,5,15,52,30,37,35,19,28,21,6,12,69,12,26,9,5
42,10,15,76,8,26,24,8,54,16,8,22,5,10,21,12,20,36,127,137,30,28,9,19,30,1,22,106,15,2,6,15,14,29,8,22,86,5,20,6,330,4,27,13,1,69,25,18,31,7,5,29,8,30,10,24,9,28,10,5,45,46,23,11,29,7,33,4,9,23,15,5,114,4,17,8,57,16,14,11,13,6,6,5,96,4,1,18,7,14,4,27,27,8,8,10,30,2,6,32
27,13,10,18,12,12,25,30,80,8,12,13,47,5,49,12,54,10,13,14,3,45,9,123,6,5,26,13,15,13,18,29,6,72,6,19,5,13,25,22,8,49,20,4,7,7,16,23,8,2,9,8,5,15,61,7,1,23,15,56,13,4,6,48,7,20,5,13,13,6,8,5,48,11,9,7,27,34,57,13,36,82,8,30,4,16,8,75,31,5,18,7,5,23,20,23,104,5,30,12
5,11,7,62,29,0,9,13,31,14,18,17,785,12,11,43,109,23,5,14,18,15,6,49,13,6,10,9,80,21,40,10,14,11,62,29,272,6,28,510,17,14,15,3,10,10,11,30,9,8,17,2,10,8,8,6,15,18,548,6,0,39,22,14,12,1,6,16,5,8,13,16,16,41,4,50,17,7,7,83,2,31,11,3,131,457,47,5,23,6,16,8,9,68,7,14,16,10,14,6
19,4,17,6,2,5,3,10,22,52,12,6,16,232,1,11,5,37,37,6,12,12,4,9065,10,21,86,4,5,23,7,13,10,34,23,8,9,11,8,3,58,66,11,4,13,5,8,12,107,7,7,7,40,21,18,17,4,10,10,23,3,17,107,3,9,7,54,15,12,16,22,27,17,47,5,9,23,14,32,7,2,9,11,6,19,7,12,19,18,89,24,30,47,16,7,15,38,18,17,7
11,474,14,269,3,43,10,7,54,21,13,6,2,36,8,20,25,5,13,5,46,8,24,20,22,12,24,19,11,18,9,5,15,11,23,8,46,21,14,45,32,17,22,85,8,4,190,7,8,15,8,14,8,34,159,0,268,65,2,29,7,0,22,65,13,22,18,13,9,35,14,6,30,8,35,6,88,30,16,21,13,33,11,7,13,5,15,9,762,8,8,45,148,11,6,13,57,23,2,24
6,13,26,44,19,9,78,5,11,1,13,6,7,5,5,16,35,14,13,31,31,25,145,27,34,12,45,15,75,4,29,2,12,87,16,60,425,76,47,81,7,39,4,49,65,52,49,13,12,22,109,53,17,6,6,4,92,2,1,6,6,39,2,13,61,22,25,253,7,15,29,78,15,14,25,9,22,10,16,95,6,25,27,19,14,40,78,31,12,14,12,22,35,399,18,4,3,30,11,49
