1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
72563961,71597871,73710218,72155504,74172094,73010036,72002988,70982712,74626886,73784474,73529447,77446535,75401829,73627326,74438013,76326257,74687837,71963829,76306016,75737536,69721370,73031444,72532061,69012318,71212340,76501714,73916136,72471394,73874011,75990704,71986671,71892117,74430561,74587174,74965739,67735867,75146036,77589078,74144134,72563585,73987932,75568724,69068370,77198301,76292301,71333226,70303795,71248979,73057359,71012611,71245845,74877038,73447412,73533426,74782076,68834661,75933035,76319117,77235922,76703053,73423752,74045517,72576284,77046266,75718587,76415799,74554812,77918375,69923032,72036928,77267790,74099954,70833678,76957114,71576291,76973294,70059792,74018078,73625853,74020418,72436708,71585501,70908087,76020012,72296385,73782605,74229229,68348800,72924031,70801034,77007181,70323891,72218613,74777689,74041099,71422525,74259370,73145137,74563690,77962004
0,2,20,2,1,13,1,6,36,6,6,5,7,0,4,5,4,3,9,2,27,1,190,22,10,8,4,0,1,10,2,1,3,0,18,3,2,3,116,4,35,21,8,22,7,35,6,2,26,7,4,3,2,11,14,31,12,34,1,0,0,2,4,15,37,0,5,2,3,6,17,4,3,59,8,10,8,3,3,5,15,37,12,17,58,0,0,2,1,16,1,2,24,18,4,18,0,8,11,1
6,3,20,2,9,1,5,6,6,0,15,2,18,0,6,6,13,2,2,17,1,6,1,1,39,4,11,8,5,6,259,8,9,1,2,3,30,6,0,5,4,0,7,3,2,1,0,8,4,19,2,53,3,0,3,0,17,2,1,6,38,4,10,39,2,2,1,7,3,6,3,7,3,4,8,2,1,4,6,7,5,3,31,7,2,8,7,8,1,4,1,3,2,7,3,4,8,0,10,82
29,1,9,5,10,6,0,3,6,3,2,18,2,11,8,21,8,1,14,28,0,0,1,4,3,5,26,11,0,0,8,22,4,95,9,3,8,5,4,6,17,3,3,0,1,1,9,2,3,2,0,4,2,0,19,0,17,34,7,2,3,4,0,6,2,21,5,4,2,4,1,3,12,0,1,0,2,1,11,7,3,283,9,5,1,4,1,0,1,6,7,3,4,2,8,3,2,42,8,1
7,1,12,1,6,7,7,0,3,4,1,20,0,564,7,0,1,16,7,5,12,10,2,4,7,5,2,30,5,7,6,24,9,83,33,3,9,1,4,3,0,13,29,0,0,1,3,2,7,18,4,13,1,9,3,3,7,7,2,2,1,17,18,10,5,5,14,20,1,12,1,3,7,6,3,9,3,23,0,18,7,130,3,30,2,501,19,10,8,2,67,9,2,7,3,2,2,4,3,11
1,0,23,0,5,3,5,44,16,6,4,26,4,6,9,2,2,5,1,1,16,63,14,7,1,0,11,2,11,2,32,23,7,3,7,5,0,10,2,3,7,0,390,5,10,20,1,8,0,1,1,4,12,4,4,64,4,8,13,83,13,4,37,31,68,3,7,30,0,9,4,5,17,4,2,8,0,8,51,13,0,26,2,1,13,17,0,6,0,1,5,1,56,13,16,3,3,2,1,0
17,4,11,54,30,1,52,10,3,2,4,9,4,0,4,8,7,0,49,18,0,2,4,1,7,0,3,1,3,15,4,4,1,59,1,5,14,6,16,2,0,11,1,8,7,35,6,2,0,7,2,1,1,11,0,3,0,3,14,5,8,2,31,0,9,37,15,4,26,37,36,14,2,4,1,23,0,3,1,3,9,2,1,10,3,2,4,4,11,1,10,3,6,4,5,3,1,7,9,7
11,2,10,0,0,286,2,3,2,3,4,19,0,25,1,0,6,182,20,2,5,1,26,9,32,3,16,11,13,2,31,2,3,4,3,7,6,14,11,0,6,3,1,21,8,17,6,10,3,82,12,3,37,2,5,8,2,2,23,163,1,1,11,7,31,0,66,3,14,1,15,3,16,12,9,4,6,2,4,2,0,3,4,4,16,3,3,2,6,32,2,8,4,19,2,3,10,0,2,3
3,8,2,0,6,7,2,1,3,1,4,6,16,1,2,3,7,2,2,3,2,18,8,2,3,4,2,4,4,17,1,97,160,27982,8,16,4,7,9,23,0,2,2,156,5,15,13,5,7,7,2,1,4,0,2,2,3,15,1,1,8,20,1,3,4,21,3,0,1,78,1,4,12,6,4,9,3,16,10,1,0,12,4,8,47,1,0,5,0,22,0,21,0,2,20,2,15,2,3,6
5,3,10,8,0,7,1,18,29,0,0,35,3,6,30,7,1,29,7,20,10,8,1,2,4,3,11,35,17,1,12,27,281,2,25,11,1,78,7,1,22,2,1,2,18,9,6,3,5,1,8,3,8,10,25,4,9,23,9,12,8,0,0,1,1,11,42,1,4,5,6,1,6,7,5,10,41,1,2,14,2,2,76,15,7,4,2,4,3,933,5,6,5,9,10,12,4,4,2,1
3,8,2,7,32,23,18,1,1,2,14,11,8,282,17,20,4,7,2,11,3,9,7,26,1,4,9,2,0,13,11,4,25,3,1,27,3,48,2,10,3,8,1,6,2,6,9,10,0,5,0,43,4,47,2,0,2,1,4,3,68,3,1,2,2,7,5,7,5,303,1,261,3,2,21,2,9,6,0,9,0,8,4,3,0,31,1,0,39,2,19,7,0,10,5,43,2,5,23,4
10,4,11,8,3,1,18,7,6,9,1,27,1,4,4,11,3,3,2,5,3,3,14,1,5,8,21,6,0,18,3,7,18,6,1,3,0,146,9,5,3,4,2,1,8,6,8,1,1,0,2,12,4,12,36,1,3,4,32,6,12,1,5,14,10,20,3,11,2,0,0,3,9,3,2,4,20,0,6,2,1,0,0,3,4,13,3,0,1,1,11,0,8,3,2,4,11,5,3,1
10,5,3,10,5,24,11,14,3,5,9,3,46,2,8,10,3,3,18,12,1,0,14,0,2,8,4,2,4,0,30,0,18,24,5,10,1,11,70,3,1,1,1,6,6,3,6,4,8,4,102,7,1853,2,3,9,15,2,8,25,19,3,2,6,2,7,8,38,0,9,44,5,17,11,1,9,8,0,13,23,10,3,1,2,4,6,2,4,12,2,15,9,7,4,4,2,12,41,63,20
1,0,9,7,2,6,21,0,3,2,3,11,6,4,2,5,9,6,0,1,2,7,23,5,5,1,12,206,3,4,19,5,10,2,16,1,1,4,5,61,3,1,30,11,8,0,2,9,43,6,2,27,6,1,1,11,85,10,10,1,24,54,14,9,2,9,16,6,1,65,0,6,2,0,29,4,8,4,1,3,16,4,6,13,0,1,4,9,20,5,3,1,7,22,0,1,15,28,6,8
4,2,12,2,11,39,24,0,7,4,6,4,8,0,2,51,0,0,12,4,2,10,4,1,10,1,9,81,10,4,2,4,45,4,3,4,7,8,5,15,8,0,2,4,1,0,1,169,3,25,1,1,25,6,2,24,36,4,2147,0,2,7,5,2,38,1,2,0,6,1,2,16,1,5,2,12,2,3,3,1,2,0,0,8,3,4,4,59,0,3,6,4,7,8,0,7,10,2,0,3
2,5,23,5,1,4,2,2,12,82,3,0,6,3,0,1,4,5,6,1,14,3,4,81,3,4,10,16,2,2,151,2,4,16,16,2,6,6,40,6,1,12,1,7,10,48,2,3,2,2,1,2,66,3,6,0,8,2,8,5,4,3,3,3,45,3,8,0,2,4,3,17,42,6,0,10,18,3,91,40,2,13,3,0,237,2,0,1,0,0,5,6,2,7,17,1,1759,9,1,6
0,11,0,2,0,7,1,10,1,6,3,12,10,4,0,0,5,0,3,44,1,1,1,3,7,1,3,14,5,4,11,3,47,3,4,3,11,4,1,2,6,9,25,6,1,7,3,3,4,8,54,2,2,5,4,8,36,4,8,10,9,0,6,4,2554,28,0,8,18,2,8,157,2,5,0,11,8,2,6,2,2,8,74,7,4,4,5,23,0,1,39,2,18,4,8,1,6,6,3,66
0,10,28,0,4,2,0,3,63,1,19,10,1,2,9,4,12,2,3,4,2,4,0,7,2,2,5,0,56,4,3,5,0,38,4,4,10,2,1,4,3,4,3,7,10,1,5,5,13,18,3,2,1,1,5,7,10,8,0,4,3,11,12,0,0,17,12,0,1,7,32,4,5,12,8,3,14,3,3,2,1,12,1,0,11,6,2,1,5,2,7,1,18,3,15,2,1,1,1,4
0,89,2,0,5,4,0,1,2,8,4,1,10,7,3,67,23,9,88,6,15,0,16,2,1,11,4,0,4,2,0,7,5,2,1,4,3,1,1,11,9,2,6,1,4,10,4,9,2,13,7,2,17,9,2,11,3,4,20,0,1,85,8,10,2,11,2,2,11,3,1,4,15,6,0,3,2,11,17,4,4,10,14,20,9,8,10,3,286,6,5,1,3,2,5,63,6,2,16,2
9,2,4,2,5,5,16,4,2,6,1,4,3,2,25,4,0,3,10,3,14,49,11,5,6,14,6,7,0,15,16,0,172,0,0,6,5,23,2,8,2,1,0,2,1,1,10,1,14,4,9,32,8,1,0,89,4,2,1,7,0,25,15,4,4,19,0,1,3,3,2,3,27,1,1,11,17,4,0,30,12,10,3,139,3,11,2,4,4,2,3,8,10,3,4,15,25,7,1,6
0,2,61,6,0,20,7,10,5,4,7,1,3,2,8,2,4,12,9,0,14,0,8,32,36,8,10,0,2,2,6,4,1,17,0,19,20,2,1,88,10,7,5,5,5,1,18,4,4,3,1,37,18,14,0,4,5,3,11,13,6,6,9,3,0,0,6,23,9,19,6,7,0,7,2,8,3,8,6,8,7,1,10,36,29,10,8,8,9,5,5,0,3,0,0,17,13,56,5,2
10,12,6,7,0,7,0,0,6,4,5,9,1103,10,3,135,65,4,2,1,0,3,9,16,4,2,3,10,2,1,4,1,14,2,12,20,54,7,1,7,1,2,33,1,11,9,1,5,14,15,2,45,29,1,4,6,4,35,2,3,3,0,6,10,39,4,106,0,5,13,2,1,6,27,2,21,0,4,1,22,19,6,2,0,18,11,1,13,11,2,3,3,13,4,4,3,5,1,2,12
5,30,0,4,7,10,5,4,12,15,16,10,13,4,13,2,1,2,10,3,1,7,8,6,3,6,87,4,2,2,1,2,4,19,8,1,14,243,0,67,2,0,5,2,8,31,8,0,3,18,6,4,5,1,6,2,18,2,14,2,5,7,2,2,2,10,7,7,0,1,10,6,3,10,0,11,33,25,14,13,5,63,0,5,3,4,2,8,51,6,46,91,14,6,2,11,13,2,0,0
0,5,4,2,99,4,7,0,8,5,29,15,4,4,10,3,0,9,15,3,1,5,2,84,2,4,1,2,16,7,9,2,14,24,3,5,11,18,16,1,7,2,10,26,2,1,1,5,89,11,1,9,9,3,3,6,6,1,25,4,2,22,2,3,1,4,3,16,14,12,0,7,7,3,3,12,1,9,8,14,3,6,4,20,5,6,10,0,0,23,1,15,16,12,6,4,1,13,2,6
15,7,1,1,43,0,13,0,21,1,2,11,58,12,9,13,4,43,12,9,6,131,10,22,93,33,7,2,5,3,0,2,3,27,6,5,3,34,8,0,6,17,0,3,7,3,7,3,12,22,9,6,8,0,13,89,3,1,7,1,7,0,3,11,0,31,6,4,10,1,9,0,19,3,5,16,6,4,10,11,16,8,9,413,2,8,8,10,268,43,10,10,2,2,18,1,8,8,19,8
20,0,8,20,5,2,1,1,9,4,6,5,6,4,2,4,2,4,6,8,1,7,3,3,4,3,11,5,5,2,0,8,11,9,1,8,7,13,5,1,9,5,4,10,2,2,11,9,0,5,8,2,23,9,0,0,11,2,4,4,2,13,6,1,2,8,6,2,3,4,4,7,1,7,4,7,1,2,0,3,5,8,4,5,11,6,6,2,2,7,36,4,7,4,0,4,5,23,86,15
0,5,19,2,2,5,2,15,8,29,2,1,362,38,4,1,17,8,6,7,9,6,29,4,0,5,1,0,0,738,1,2,0,5,2,6,4,5,2,3,4,2,0,5,1,1,1,9,6,1,5,7,30,9,3,5,12,1,2,1,7,5,15,8,12,9,3,8,0,18,3,3,25,8,3,7,0,123,2,6,6,2,9,0,4,14,19,1,13,9,4,1,4,7,17,11,10,1,0,1
