1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
112988900,110759850,115118179,112807200,114380749,113487175,109761527,113888057,109494854,111031410,116289440,112965344,114129828,115800005,114293093,113023563,109839980,113482247,115382616,114816945,113557774,113882951,116907912,109345607,112331891,112160468,116857072,113204994,113575836,115007042,111313375,116897748,110609416,114295175,115869484,115332328,115897394,118229484,112300504,114956647,115578958,116711081,114718686,111748041,115428950,116415488,114645492,116928089,114458659,115600261,113226700,113496599,115692948,114837414,116520295,115128056,115590509,108319601,112881129,116303078,112510817,110295955,116425540,115081071,113405736,115728357,113829453,116200427,113080777,120244834,110986718,116756395,114625108,108928318,114176163,110969840,111474902,118754526,117344071,109687094,110742339,116753466,116270906,112213857,112692914,113731122,116683894,113974955,112233848,115239016,114936876,117727197,114550143,112294919,113973853,110159133,115342948,115963846,116784008,112350153
7,8,5,20,8,9,8,4,41,2,14,17,31,4,6,14,1,8,10,2,13,6,4,2,16,15,16,17,50,3,4,6,2,10,101,9,7,958,32,29,18,5,19,9,7,2,2,26,11,26,0,7,2,9,8,10,10,156,5,9,9,5,3,11,10,11,29,5,32,0,21,18,10,6,3,24,6,2,8,1,7,1,16,2,5,6,15,40,5,3,1,11,20,269,6,3,5,5,1,24
27,3,60,14,1,55,2,10,3,0,14,8,4,4,17,12,1,27,3,133,3,80,12,8,3,14,12,52,33,40,2,12,8,3,0,8,8,4,5,45,4,75,11,10,3,2,22,8,9,7,3,5,2,9,14,3,18,16,2,15,12,9,8,35,7,4,17,30,20,2,7,18,15,12,1,8,5,9,11,21,2,4,18,19,37,4,158,5,10,20,19,0,4,9,19,29,8,7,17,0
10,5,10,8,36,5,17,11,0,3,17,5,2,10,2586,4,1,5,12,17,9,27,0,14,3,89,3,2,53,29,6,8,6,6,6,4,5,38,8,7,3,23,24,7,3,0,6,7,16,30,2,68,10,14,25,19,25,12,2,24,6,19,2,11,83,136,8,16,2,31,7,1,2,22,6,7,16,14,7,14,8,3,2,4,12,13,33,134,49,7,88,21,2,20,4,2,11,44,6,4
13,4,12,19,53,107,1,2,15,4,59,14,14,1,17,80,4,2,1,7,1,111,2,66,29,21,5,2,4,3,12,2,2,2,21,34,12,2,1481,43,42,7,21,2,8,19,8,2,20,34,7,6,52,52,12,22,4,23,4,17,9,9,53,4,7,77,6,2,7,3,16,170,23,8,16,6,6,21,10,50,9,4,6,42,3,15,20,17,3,28,38,14,4,4,10,13,10,36,20,10
5,12,1429,20,38,7,15,4,4,3,49,1,71,13,15,8,12,5,27,15,2,3,13,12,8,8,68,12,16,9,6,3,4,7,7,2,13,7,16,95,14,5,9,26,16,7,21,4,7,5,33,5,1,19,9,8,17,32,30,7,12,106,5,281,7,12,22,72,9,7,101,17,4,6,3,40,10,46,12,55,10,12,226,13,5,19,12,24,4,12,2,9,26,16,24,47,77,5,5,7
23,4,10,0,10,13,6,4,16,5,15,1,2,0,57,5,14,54,2,9,7,1,3,48,1,21,4,8,3,61,72,15,32,4,4,4,29,2,1,2,1,1,20,7,8,4,3,6,2,4,22,4,35,4,4,6,5,77,1,29,10,3,29,5,16,18,8,0,12,5,26,7,27,28,0,4,5,6,11,129,21,39,4,8,15,26,0,2,14,6,18,568,5,19,0,5,43,6,11,44
13,4,47,3,9,17,348,2,39,128,5,93,1,4,2,9,5,6,18,11,19,4,83,23,7,2,49,6,6,9,4,11,14,7,1,9,60,10,9,50,23,26,6,9,10,7,6,2,5,34,3,7,44,35,157,10,56,73,7,14,9,27,9,23,51,7,5,19,6,10,16,31,8,5,4,6,21,24,54,3,0,6,17,7,9,2,3,29,3,5,13,7,20,4,73,6,12,1,13,4
16,6,3,11,14,6,7,3,18,5,1,5,63,22,7,4,1,37,6,37,11,15,0,10,4,13,9,1,28,16,34,41,6,28,3,7,7,4,6,11,9,34,163,1,55,35,4,20,49,23,13,28,24,26,22,21,31,1,7,4,7,3,11,15,42,14,7,2,1,4,5,11,2,40,3,45,6,9,20,12,7,5,46,4,17,4,6,11,3,12,4,1,2,6,7,18,3,22,16,180
5,28,0,21,10,6,0,30,9,4,30,6,10,5,35,19,48,21,50,12,4,10,3,66,53,5,6,4,14,60,19,17,1,11,9,40,12,15,16,6,12,5,146,21,10,8,2,24,4,2,5,1,7,32,40,10,18,2,31,4,2,39,28,7,16,3,17,12,9,6,5,8,2,29,23,2,6,8,34,8,6,0,23,106,20,52,8,49,405,83,6,9,20,11,37,0,3,2,182,1
8,4,7,2,3,6,4,13,11,3,13,15,17,6,10,9,10,5,1,4,55,9,16,6,11,21,357,7,25,4,15,22,50,10,1,3,10,4,6,19,20,7,20,19,4,4,8,2,13,3,2,2,5,14,8,3,7,6,2,1,9,11,15,10,12,15,8,6,5,41,9,13,8,14,20,10,4,7,7,21,11,7,1,4,2,6,1,19,10,20,6,6,32,13,2296,13,22,18,19,10
17,15,13,3,8,1,4,18,40,3,28,1,2,10,7,13,33,17,4,9,13,17,89,2,11,6,25,31,0,7,2,19,5,9,8,10,6,17,7,7,11,73,3,7,12,1,14,6,2,17,3,8,12,18,10,14,11,18,38,10,12,1,20,36,4,4,9,0,9,6,7,34,6,11,1,17,4,45,2,2,44,12,27,6,8,0,8,5,3,4,7,1,6,4,2,14,4,21,3,15
13,2,77,24,5,8,77,8,7,1,2,33,5,87,8,7,11,38,14,45,21,10,260,7,1,5,43,2,17,20,1,2,2,2,8,5,14,7,7,27,7,464,6,1,33,86,14,1,38,14,213,14,1,9,13,24,6,29,13,3,14,9,9,29,2,2,27,2,52,4,6,13,17,13,37,29,15,5,1,14,1,3,5,9,10,125,5,52,7,6,9,11,6,3,6,11,4,2,5,14
15,9,10,34,9,11,9,2,4,18,4,7,2,3,20,53,5,17,16,3,3,3,0,10,26,5,8,2,2,14,47,2,6,3,3,45,6,7,4,18,0,4,279,3,37,4,7,4,6,7,4,6,2,2,14,15,4,9,42,8,2,4,1,6,20,3,9,1,22,4,4,4,38,14,11,46,70,12,10,4,34,2,7,19,5,40,1,9,8,5,8,4,0,3,31,22,9,8,19,3
8,9,3,73,3,4,7,8,15,19,86,41,80,18,13,2,12,9,3,4,17,918,14,2,27,4,3,7,3,37,11,34,9,4,5,8,1,20,6,55,55,5,4,18,2,0,10,826,19,2,6,6,195,1,3,125,4,19,13,2,3,38,9,10,123,23,82,3,49,7,6,9,2,2,2,8,2,9,15,141,7,3,485,7,5,40,17,20,4,26,42,21,1,2,5,3,4,16,10,44
5,1,13,12,7,42,3,62,38,7,17,15,15,31,14,20,47,4,4,18,30,8,5,1,21,7,2,4,15,8,4,1822,7,2,16,4,98,7,17,19,50,35,51,4,14,12,3,12,6,16,5,17,9,3,2,7,49,19,17,13,8,4,15,3,14,25,9,9,4,40,14,3,14,3,6,7,14,10,4,7,8,65,16,6,10,7,4,13,1,5,35,7,23,17,7,6,5,16,4,15
6,3,9,11,27,4,7,7,8,12,4,16,5,9,22,3,6,26,4,1167,16,20,9,17,45,1,4,16,33,2,4,71,33,10,19,34,9,3,23,23,8,5,5,8,13,9,12,9,14,12,44,4,13,114,8,8,7,5,4,2,29,40,9,28,17,15,9,27,32,5,10,6,10,2,13,1,14,10,5,9,5,0,2,30,12,13,23,19,8,10,18,25,15,8,10,12,9,12,21,1
