,Max,InitialPop,Sampling,PCREfficiency,PolymeraseError
0,0.0007357405137996484,2785,0.001,0.8,1e-6
1,0.0006524195950474191,2785,0.001,0.8,1e-6
2,0.0008155182317202622,2785,0.001,0.8,1e-6
3,0.0007615900098382175,2785,0.001,0.8,1e-6
4,0.0008291590596508511,2785,0.001,0.8,1e-6
5,0.000704756691491183,2785,0.001,0.8,1e-6
6,0.00055404231456721,2785,0.001,0.8,1e-6
7,0.000515201028797564,2785,0.001,0.8,1e-6
8,0.0007076824273487746,2785,0.001,0.8,1e-6
9,0.00110087362312831,2785,0.001,0.8,1e-6
10,0.0007330566557726848,2785,0.001,0.8,1e-6
11,0.0010109060433671734,2785,0.001,0.8,1e-6
12,0.00137429243224487,2785,0.001,0.8,1e-6
13,0.000648042672980494,2785,0.001,0.8,1e-6
14,0.0007135982197181579,2785,0.001,0.8,1e-6
15,0.0007377519298798983,2785,0.001,0.8,1e-6
16,0.0010742295197437798,2785,0.001,0.8,1e-6
17,0.0011421213072570137,2785,0.001,0.8,1e-6
18,0.001289097663835991,2785,0.001,0.8,1e-6
19,0.0007784276742398223,2785,0.001,0.8,1e-6
20,0.0008391109508960752,2785,0.001,0.8,1e-6
21,0.0006230945726099972,2785,0.001,0.8,1e-6
22,0.0011602046634878347,2785,0.001,0.8,1e-6
23,0.0005829968077007329,2785,0.001,0.8,1e-6
24,0.0006646489536356093,2785,0.001,0.8,1e-6
25,0.0007111261295893186,2785,0.001,0.8,1e-6
26,0.0007686208433892428,2785,0.001,0.8,1e-6
27,0.0007410350502758007,2785,0.001,0.8,1e-6
28,0.0010721896576923603,2785,0.001,0.8,1e-6
29,0.0007480053996564111,2785,0.001,0.8,1e-6
30,0.0007105835655139774,2785,0.001,0.8,1e-6
31,0.0008236729494341778,2785,0.001,0.8,1e-6
32,0.0006870338440525983,2785,0.001,0.8,1e-6
33,0.0008842711101145591,2785,0.001,0.8,1e-6
34,0.0009332753112664164,2785,0.001,0.8,1e-6
35,0.0008410786776702294,2785,0.001,0.8,1e-6
36,0.0006744603334790406,2785,0.001,0.8,1e-6
37,0.0007365880849395947,2785,0.001,0.8,1e-6
38,0.0006969922933485878,2785,0.001,0.8,1e-6
39,0.0008560938755049909,2785,0.001,0.8,1e-6
40,0.0006627656262550175,2785,0.001,0.8,1e-6
41,0.0005708917993013302,2785,0.001,0.8,1e-6
42,0.0005711947355265655,2785,0.001,0.8,1e-6
43,0.0012261736890796003,2785,0.001,0.8,1e-6
44,0.0006249439968479182,2785,0.001,0.8,1e-6
45,0.0006037989719109202,2785,0.001,0.8,1e-6
46,0.0005438708599480392,2785,0.001,0.8,1e-6
47,0.0010054489227375614,2785,0.001,0.8,1e-6
48,0.0010167633870533195,2785,0.001,0.8,1e-6
49,0.001115914508885954,2785,0.001,0.8,1e-6
50,0.0006129832611921848,2785,0.001,0.8,1e-6
51,0.000816850163284126,2785,0.001,0.8,1e-6
52,0.0010068334290027176,2785,0.001,0.8,1e-6
53,0.0005326039200478438,2785,0.001,0.8,1e-6
54,0.0008066365356327955,2785,0.001,0.8,1e-6
55,0.0006439336654986943,2785,0.001,0.8,1e-6
56,0.0008584606476881438,2785,0.001,0.8,1e-6
57,0.0012371409383277155,2785,0.001,0.8,1e-6
58,0.0006927667908054425,2785,0.001,0.8,1e-6
59,0.0010032897091826803,2785,0.001,0.8,1e-6
60,0.00047407244991026396,2785,0.001,0.8,1e-6
