1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
15352342,14991660,14861231,14955699,15349963,15213930,15046961,14558757,14916362,15025927,14642616,14068076,14413045,15360651,14754088,14613207,15058325,14899866,14736806,14913899,15104435,14590994,14999518,14808836,14861714,14659742,14367184,15108409,14568399,14482656,14682503,14508224,14451402,15337544,14513155,14165678,15028043,14660011,14773318,15376410,14862945,14727332,14613192,14588313,14789529,14699174,14626422,14830693,14979275,14780149,14426509,14281020,14879255,15079142,14718980,15478919,14334760,14276111,14389673,14733739,14496378,14986142,15255770,14753703,15188108,15262527,14657717,14890015,14694171,15023331,14470959,15140728,15087180,15234774,14917421,15057475,14331689,14655313,14703521,14625846,14747038,14833508,14825029,14968849,14917037,14360725,15188858,15393498,14803382,14436946,14489854,14637661,14920001,15118492,14620217,14901137,15098975,14477147,14531476,14610637
8,11,12,6,9,12,2,6,6,3,26,6,18,3,9,3,14,6,19,38,7,16,6,21,33,4,52,8,4761,6,46,33,13,43,12,7,31,15,5,6,8,6,87,7,45,60,30,63,40,6,8,28,10,12,19,52,23,2,4,13,10,9,17,11,9,24,30,178,6,13,20,12,14,3,11,5,20,5,11,12,5,17,29,1,1,132,6,6,2019,120,15,6,57,10,8,13,8,30,0,12
20,10,3727,11,132,18,4,12,8,2,15,30,15,5,11,12,27,316,220,6,16,8,18,15,43,42,8,4,6,30,32,7,24,11,26,9,15,39,2,7,6,16,19,9,6,13,31,5,7,19,379,31,6,24,30,37,23,21,21,21,10,7,3984,4,116,28,14,42,11,5,21,28,170,10,11,21,5,16,30,9,12,48,69,19,12,0,162,30,5,3,20,14,113,15,31,25,0,3,3,13
17,15,15,61,11,6,13,4,61,27,5,44,11,25,4,15,107,9,0,3,8,127,10,20,17,8,6,12,40,3844,53,6,2581,250,6,6,41,12,72,45,18,24,8,22,6,105,19,3,15,1,8,42,18,38,13,31,11,43,114,45,18,18,168,10,7,11,1,4,16,7,11,4,82,20,33,6,34,1,10,20,6,25,45,7,12,5,5,4,22,36,13,108,0,13,11,13,21,3,49,7
19,19,358,57,40,12,28,71,5,13,3327,35,0,3,3,15,7,24,6,42,16,18,22,60,117,43,43,34,7,13,19,17,104,46,76,112,4,9,22,8,13,4,7,9,7,15,16,9,11,5,21,10,5,10,711,1,1,3,13,6,36,4,18,5,17,30,35,43,12,8,4,11,79,10,4,7,18,9,33,7,4,2,15,30,203,4,19,10,16,3,235,31,40,7,17,114,15,22,27,1
3,1,4,30,112,154,106,13,98,17,6,17,7,213,4,9,15,33,20,22,7,21,4,13,15,29,72,3,5,5,9,73,12,5,23,6,11,3,3,13,15,42,2,4,3,55,2,5,7,27,54,8,10,13,28,9,15,6,1,5,12,6,17,491,5,5,12,47,3,41,31,6,15,7,11,9,20,4,4,10,8,27,5,6,5,10,12,1,161,65,5,13,141,10,6,6,74,43,395,7
5,14,20,19,30,5,20,19,7,2,12,7,12,30,11,8,40,12,93,14,61,3,63,0,19,8,8,10,53,12,33,10,17,2,55,41,13,13,19,15,7,6,8,10,12,21,6,22,3,15,11,111,25,0,13,13,35,11,5,5,20,6,14,42,8,39,5,36,28,11,5,31,10,8,29,12,2,116,9,5,25,7,11,12,3,15,4,9,37,5,8,2,39,29,4,6,5,2,10,12
18,8,17,19,7,50,9,33,20,16,3,26,10,8,36,20,10,2,4,3,13,1,13,18,7,343,14,15,1127,10,3892,0,4,22,6,18,10,16,25,11,21,3,27,11,13,19,11,6,37,5,16,33,17,8,8,13,5,17,5,18,16,12,6,14,64,15,13,5,19,8,16,120,4,29,8,3,48,4,41,5,14,238,7,13,7,14,11,5,4,23,26,16,21,6,38,19,79,24,5,20
2,27,18,13,7,6,16,61,9,6,50,29,6,1,4,9,21,23,5,9,24,10,7,10,20,12,11,16,3,20,15,18,5,14,17,25,11,6,7,27,19,10,8,6,8,12,32,13,23,16,35,8,46,7,3,111,13,18,128,4,9,21,31,19,9,25,6,59,14,15,6,11,10,9,15,40,5,19,19,5,20,63,23,9,43,20,7,5,19,27,62,26,1,9,38,49,11,4,57,4
13,8,16,3,5,38,9,11,9,5,3,21,15,6,26,3,8,6,11,7,29,9,23,14,21,319,5,8,47,3,184,20,12,39,37,7,57,8,3,461,18,3,210,15,9,88,2,19,6,24,8,10,5,8,23,26,18,2,10,10,6,2,25,7,9,13,7,8,14,7,6,21,5,58,5,66,3,17,9,28,9,8672,4,6,6,36,28,62,42,49,58,5,30,17,39,6,7,17,1,8
12,7,11,9,43,18,19,27,30,11,12,9,5,8,20,37,24,20,40,4,18,16,5,4,10,6,6,25,6,28,14,28,23,7,20,14,8,9,1715,7,13,15,8,16,34,9,18,32,9,2,9,53,15,3,5,180,5,9,4,8,34,2,8,45,7,4,8,320,28,23,16,14,7,3,6,5,20,26,7,12,22,32,12,13,22,17,6,7,53,0,519,15,25,1,4,11,25,9,2,8
73,6,19,1,6,3,18,7,19,36,7,37,150,35,7,8,23,6,14,17,10,12,24,26,11,22,4,6,38,9,13,2,5,30,8,4,13,15,3,46,12,8,6,7,10,5,9,9,31,8,12,36,1,7,19,4,6,78,7,4,18,9,10,44,12,283,14,7,13,14,5,10,17,14,7,2,7,26,11,19,6,6,2,12,3,8,5,8,12,5,69,14,28,17,18,18,16,11,7,41
11,11,4,10,4958,5,26,8,5,4,10,8,102,9,2,69,214,35,6,1,22,5,11,9,7,765,11,8,16,16,9,37,7,5,7,6,52,5,19,7,36,3,7,1,26,15,22,22,20,3,41,34,9,2,57,25,10,19,1357,11,15,23,13,8,6,13,6,20,12,53,7,19,17,8,9,53,28,26,31,15,132,29,30,12,15,35,40,5,29,18,8,18,12,4,2,13,2,35,10,6
27,5,46,0,5,8,9,9,29,37,5,4,4,25,9,6,171,17,17,18,74,29,3,4,119,8,4,3,5,20,52,52,37,22,5,3,3,39,2,9,11,13,11,5,33,197,3,11,14,46,5,16,14,6,6,6,8,6,6,8,10,15,16,6,76,4991,21,7,16,5,3,34,6,13,17,1,2,11,15,26,33,30,5,7,18,6,12,13,34,10,8,24,6,81,15,70,32,16,25,10
8,1,17,15,9,3,29,11,27,6,21,6,5,84,20,59,7,14,12,11,8,385,26,23,4,8,27,5,4,3,120,19,33,3,13,8,223,12,55,4,22,23,6,4,6,23,23,9,7,19,5,8,6,21,24,12,10,2,9,7,40,18,5,15,107,19,31,41,16,11,23,7,9,10,23,9,1,31,9,19,21,9,6,27,22,78,48,7,21,8,22,9,2,10,6,107,84,9,11,8
8,6,16,248,20,2,7,6,6,11,17,24,5,5,14,187,38,2,13,24,9,14,46,14,8,8,6,23,6,31,3,35,16,9,7,12,20,14,9,23,16,0,206,7,10,28,8,3,7,8,4,7,3,20,7,324,4,37,8,10,23,8,28,8,572,7,10,9,8,25,24,19,1290,50,3,7,32,10,10,21,2,99,5,30,3,19,46,2611,10,24,11,5,4,48,11,8,5,15,6,52
12,91,35,36,38,16,16,90,14,66,5,4232,8,15,21,1,12,5,30,33,15,63,14,12,5,6,5056,7,128,11,9,94,19,43,2,3,9,17,77,25,7,18,17,16,4,1,6,1,27,7,11,5,1,106,8,61,15,58,23,8,5,22,17,10,9,29,8,40,14,5,17,8,6,45,6,11,9,20,22,5,3,2,41,17,162,45,8,1,17,6,74,15,12,26,7,9,8,3,5,9
4,20,19,5,12,12,12,13,144,4,4,2,4,9,50,9,12,6,15,22,32,12,5,15,13,60,6,2,24,3,12,21,5,11,54,33,23,65,5,8,12,103,12,5,6,17,9,22,8,7,2731,5,25,2,96,13,9,97,13,8,4,5525,16,13,10,5,19,215,4,18,34,14,11,4,113,111,9,11,25,13,138,7,8,6,9,11,11,47,3,8,6,36,14,3,99,6,2,4663,28,5
0,66,30,22,7,17,18,24,25,37,16,6,4,32,23,52,14,49,5,707,4,106,12,5,4,8,10,9,3,16,3644,7,28,3,13,67,36,33,53,7,1,6,8,11,9,7,8,16,16,1,17,23,14,8,8,6,18,16,24,12,60,9,46,9,11,0,6,4,6,20,13,42,6,7,5,61,64,12,4,12,19,26,4,5,13,18,8,4,0,7,10,24,26,239,11,22,2,7,2,48
5,11,2,35,2,14,17,23,34,12,10,18,1,15,20,34,16,26,35,10,20,5112,25,3,6,12,7,25,1,6,3,62,33,9,23,11,46,13,7,71,10,13,14,29,23,14,8,18,43,7,9,6,22,47,2530,4,12,83,9,41,13,17,11,31,69,20,33,5,26,9,6,13,7,11,9,9,8,12,21,12,25,64,12,8,6,21,29,27,18,2,40,15,160,13,30,67,18,22,10,15
5,13,2,33,8,39,6,10,20,28,138,14,13,25,7,3,1,58,5,20,13,16,11,111,12,18,5,15,28,1,25,13,10,11,9,5,31,22,3694,23,39,15,22,16,10,59,8,6,21,3,10,12,4,13,21,18,3,5,94,90,17,5,27,43,3,11,97,109,91,211,3,18,3,32,55,30,42,7,3,24,3,12,264,10,13,2,20,91,2,39,28,105,13,23,3,65,7,19,14,32
21,13,17,50,39,7,53,15,3,37,7,21,5,13,3,22,19,4,7,239,6,24,4,8,6,212,10,13,18,6,35,17,20,2,11,7,19,10,12,52,12,2,8,591,15,75,29,16,14,7,2,10,34,4,8,34,7,33,4,16,6,2,11,178,73,16,3,7,24,37,1,14,50,13,12,22,2,4,16,31,7,11,3,16,13,4003,3,23,3,7,12,4,29,29,10,1,5,131,2,2
4,7,17,5,6,26,80,110,6,67,54,16,8,10,15,3,15,12,36,3,56,28,0,8,23,41,4,6,13,2,97,20,16,33,10,23,10,0,197,2,6,14,17,7,6,14,11,4,38,3,40,4,6,9,5,12,8,24,79,11,6,4,8,8,15,8,9,28,8,7,8708,59,14,11,8,65,226,4,12,43,2,27,23,12,8,6,12,6,25,12,25,23,18,26,31,7,2,2091,65,45
7,11,3,6,17,89,32,12,14,5,5,4,11,108,102,3,17,16,11,35,7,3,10,20,5,26,46,32,8,1,9,2,0,7,20,6,16,9,4,4,20,18,28,6,6,57,105,56,19,8,12,24,4,15,5,55,42,22,52,21,10,50,12,8,5,3,7,8,4,16,16,23,8,5,65,12,14,7,4,22,6,56,1,59,14,42,4,31,9,14,194,18,4,14,21,18,5,19,11,5
62,8,18,6,57,14,52,4850,23,6,25,18,359,25,21,6,52,6,21,10,8,12,7,28,11,7,19,4586,8,31,14,10,21,22,55,5,33,21,6,7,6,86,7,4,9,7,5,22,13,6,26,8,13,5,11,19,20,32,31,4,7,3,13,53,26,10,2,16,11,12,62,6,4,24,18,23,15,28,11,6,4,6,1,4,11,15,2,6,10,11,3,8,10,12,219,18,17,10,35,8
6,63,8,8,6,100,29,37,45,180,29,18,14,13,3,28,3,3,5,22,111,5,16,22,435,16,13,3380,20,2,8,3,17,7,8,6,9,3,7,36,10,7,12,13,18,6,30,17,4,2,7,3,6,45,17,805,3,8,14,42,2,24,382,12,15,41,7,18,10,56,6,32,8,16,6,11,26,18,5,131,0,48,14,27,5,30,758,76,13,8,24,24,54,83,39,17,6,8,2,2
31,24,5,116,5,63,8,15,12,35,60,19,41,17,12,28,30,12,11,25,7,7,18,7,33,36,6,10,8,126,22,11,24,56,16,12,4,34,12,5,18,19,3,3,11,59,106,41,14,38,4,33,5,23,42,7,8,49,6,16,29,116,7,17,5,43,7,25,8,43,22,22,25,10,9,27,7,15,16,12,26,9,6,9,35,47,9,11,4,86,4,8,109,10,14,7,8,15,10,19
16,6,7,9,6,4,18,7,21,13,21,12,62,8,8,59,28,6,9,62,26,13,30,4,7,3,3,11,6,16,11,11,5,14,28,13,4,14,19,5,14,13,17,9,13,16,11,9,50,20,22,11,46,7,50,13,15,13,4,9,18,15,7,9,8,5,6,60,18,10,6,187,187,13,35,23,5,11,4,19,27,8,9,10,1,7,2,3,106,11,72,12,31,10,1799,6,17,32,13,2735
163,4,114,4,0,10,20,15,9,2,35,17,17,44,2768,7,8,9,14,19,2,9,30,5,17,7,8,9,4,10,8,46,10,8,7,342,13,57,10,20,10,22,128,12,14,4,24,69,54,6,37,88,2,14,6,25,2,7,434,7,2,17,32,8,12,0,5,2,10,11,21,10,22,15,0,12,2,26,5,39,29,4,3,21,21,15,28,5,5,254,8,10,5,13,8,4,13,3,144,3
33,11,12,34,17,36,19,5,8,10,24,29,4,12,36,20,13,13,32,9,13,7,5,3,7,22,58,10,10,22,11,11,180,11,23,5,12,0,2,48,5,4,12,30,13,118,24,19,26,7,16,6,9,3,5,8,4,5,3,2,68,11,70,5,6,17,28,10,11,9,6,5,16,55,30,21,65,4,20,4,8,28,7,8,5,73,15,12,20,18,20,12,9,3,5,161,11,6,8,7
30,20,3,17,10,6,20,11,35,1,10,12,19,26,1,4,37,12,28,78,48,25,11,31,27,12,26,20,42,18,8,62,28,32,0,6,14,41,17,9,11,13,6,12,64,44,15,5,181,12,91,2,15,7,18,19,12,17,35,4,21,5,11,55,38,15,2,6,4,67,6,22,5,3,10,104,9,9,7,9,22,62,46,7,7,39,18,342,8,4079,8,7,17,8,8,3,8,5,16,13
11,33,9,8,108,6,12,6,5,8,25,8,17,10,7,54,6,39,6,7,8,3,2,2,10,42,63,92,6,19,9,15,5196,13,8,3,11,10,58,10,34,16,15,4,5,202,27,51,36,11,11,83,16,6,169,13,554,7,32,8,9,98,5,4,7,9,5,15,11,2,8,26,11,9,22,28,3,4,21,198,18,6,34,62,304,32,61,31,1912,18,6,22,27,40,11,64,4,36,1,15
