1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
7912922,7888699,7495879,7847339,7740145,8092560,8024145,7811412,7714202,7761007,7800171,7578200,7842803,7750247,7723316,7878126,7608308,7499880,7860424,7866854,7848543,7959072,8004592,7694855,8077329,7821273,7892339,7799183,7739065,7888947,8269138,7662199,7992659,8211580,7921205,7751391,7988183,7779053,7723031,7778224,7693212,7779533,7691716,7706623,7871235,7927566,7953583,7869567,7814338,7858798,7952928,7936612,7737661,8114431,7842367,7841703,7952774,7936877,7763279,7634299,7723556,7881745,7854015,7793826,7918062,7892471,8002550,7954882,7864700,7887384,7940349,7674254,7972948,7697688,7858691,7687379,7578861,7730917,7612965,7540389,7983955,8046447,7685465,7676648,8062304,7629062,7621172,7718547,8010356,7848785,8090055,7878251,7845578,7694137,7781535,7661102,7805565,7875320,7755008,7684453
6,5,2527,1,3,9,5,1,0,321,2,4,7,28,1,33,1,9,28,6,8,17,4,103,35,0,2,0,19,0,1,4,1977,3,6,3,2,3,18,8,4,0,19,0,9,7,5,5,0,2,4,1,4,4,3,4,1,2,3,66,48,33,26,2,149,5,4,4,15,2,1,0,10,0,3,15,0,8,4,4,20,4,4,17,115,4,0,6,6,3,32,8,6,27,0,17,3,37,0,35
15,4,45,2,52,48,5,5,20,111,4,3,17,14,101,2,7,2,19,3,13,10,7,5,3,1,14,1,2,5,54,5,0,131,5,2,6,20,7,32,53,1,4,5,2,0,2,9,5,3,0,4,6,6,23,3,4,2,0,6,16,27,1,9,0,5,8,14,30,5,2,14,3,1,7,32,2,21,1,13,20,10,1,35,2,16,22,3,8,3,1,2,1,3,178,9,9,7,2,5
2,1,1,2,1,9,4,2,8,4,17,160,8,9,4,12,0,8,15,4,4,27,22,5,0,8,4,2,13,7,4,81,7,0,8,1,14,9,3,1,22,0,2,90,5,6,1,5,6,3,9,6,99,6,3,1,170,0,592,144,7,3,4,5,0,20,7,2,7,9,3,4,12,4,0,384,3,5,1,4,9,1,6,20,6,5,5,2,0,2,1,16,12,26,1,1,3,3,18,6
2,1,8,2,193,7,2,5,0,11,4,2,17,1,5,6,7,14,55,1,4,1,1,153,1,4,3,5,4,0,16,5,0,5,4,20,2,6,5,38,13,1,2,16,7,3,1,2,0,10,4,4,3,7,16,6,4,8,4,1,13,3,8,6,23,5,10,7,3,51,3,6,10,4,3,1,2,0,1,3,2,20,6,1,34,5,8,2,4,26,10,6,7,13,5,15,0,5,4,4
0,6,2,9,5,7,17,0,5,9,18,20,3,2,0,2,4,2,1212,5,8,2,79,13,1,9,9,6,5,5,3,8,18,35,2,7,3,9,1,2,2,4,4,2,2,5,8,17,8,7,10,104,2,5,10,3,3,2,4,0,3,2,7,11,3,162,0,1,11,0,0,2,4,0,8,7,2,13,1,10,4,18,11,13,6,1,6,12,2,5,10,1,1,14,2,2,1,7,1,10
611,7,3,14,1,4,34,7,6,8,1,4,8,2,5,0,3,1,15,5,6,33,33,1,31,7,2,24,0,5,2,0,6,7,0,1,5,10,4,5,42,5,0,6,8,10,4,3,5,1,5,0,12,10,4,2,3,2,3,3,2,11,1,3,0,2,16,2,0,3,11,0,1,14,0,2,24,6,2,3,35,17,13,5,58,6,7,4,1,8,4,28,6,6,22,66,1,8,4,0
4,109,35,58,101,2,36,13,0,13,8,9,14,28,2,2,8,4,8,10,6,107,2,0,7,2,1,16,17,2,17,2,9,9,5,4,6,7,8,4,19,20,11,8,11,6,2,35,13,49,8,2,2,9,6,1,9,3,126,6,12,19,48,27,1,7,12,9,2,23,31,43,2,2,8,0,2,2,6,12,7,49,31,32,10,3,17,1,8,4,7,1,1,217,9,2,0,13,4,58
35,212,8,29,20,3,2051,5,13,4,5,2,8,36,7,5,7,13,3,0,3,20,12,4,0,13,4,7,18,3,4,58,23,12,52,4,10,0,29,11,0,4,6,4,18,5,6,2,0,5,1,23,11,4,0,8,15,11,10,6,2,5,22,0,12,3,3,9,10,7,8,9,0,10,32,7,60,8,1,12,23,1,0,0,6,1,9,0,37,14,10,2,9,5,7,2,8,1,13,13
4,5,4,1,19,16,7,9,13,4,15,2,4,0,15,4,3,9,5,4,1,0,11,0,2,2,3,4,6,0,12,4,2,5,43,10,1,6,2,1,0,13,12,1,10,2,17,1,1,0,18,8,9,2,13,5,3,18,10,3,6,3,4,9,0,13,22,8,5,2,2,25,2,6,13,60,33,6,3,4,9,0,20,16,0,14,11,4,3,2,12,5,1064,2,8,5,6,1,12,6
