1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
4171255,4038189,4052923,4171764,4022530,4078770,4064130,4099117,4147058,4056322,4011017,4030326,4041658,4074727,4176450,4069970,4171920,4004515,4085958,4086476,4158238,4048150,3905035,4182933,3951077,4114982,4088542,4154488,4094471,4058609,4117447,4112216,3934236,4073654,4180902,4250223,4078055,3988619,4215033,4206130,4193938,4242406,4168880,4179355,4207325,4141495,4198230,4161977,4216595,4052514,4115641,4138914,4156614,4091839,4114956,4017605,4095740,4243698,4103333,4019246,4138751,4049869,4037436,4126115,4192576,4130941,4196745,4063859,3959151,4015261,4056808,4031587,3953640,3988105,3923452,4227780,4059992,4149760,4232006,4109254,4065803,4061337,3991954,4122746,4106672,4023468,4245582,3943961,4139098,4121245,4127099,4069995,4156436,4069954,4005573,4145116,4013746,3991913,4143949,4066649
4,0,0,1,0,1,0,1,4,0,743,3,0,13,2,4,2,9,1,2,1,1,9,0,4,0,0,1,0,27,5,57,7,1,5,1,1,5,7,0,1,12,2,1,2,2,0,5,0,0,1426,65,2,11,9,1,0,2,4,10,1,1,0,3,1,3,1,20,0,0,4,7,1,1,3,8,13,14,3,10,7,14,4,2,4,15,0,0,1,1,3,6,0,3,0,2,0,8,0,5
0,4,0,0,5,2,0,0,4,1,2,1,2,5,6,2,1,1,0,0,2,1441,8,2,4,4,1,2,2,4,2,4,2,4,19,1,2,13,0,4,3,22,4,15,7,1,0,8,0,4,0,2,1,7,1,4,0,2,5,2,9,19,3,0,3,1,1,1,0,1,1,0,2,10,315,3,1,3,0,3,18,3,0,7,0,2,221,2,7,4,2,8,2,0,12,4,3,2,2,1
0,1,4,3,17,0,8,18,15,0,1,3,16,5,0,3,8,1,1,0,7,4,0,1,7,19,2,1,5,6,5,4,16,1,0,25,0,29,194,1,42,4,1,1,3,0,1,2,2,7,9,2,7,5,3,29,1,0,1,1,17,3,0,4,1,3,6,0,12,11,16,2,1,1,0,0,20,1,2,1,0,1,0,3,1,0,0,8,1,2,0,2,25,59,32,11,11,7,0,0
19,0,9,1,4,42,1,33,0,5,5,7,3,3,0,4,5,0,6,3,0,2,1,1,0,2,8,3,4,0,0,0,4,6,1,5,1,0,0,23,0,3,2,8,5,2,1,121,3,8,0,0,5,32,4,2,1,0,0,1426,2,5,4,5,1,6,1,4,0,16,0,1,2,4,5,3,3,0,5,0,0,2,0,1,0,5,11,2,0,2,2,32,2,1,2,193,2,0,3,0
41,3,0,1,2,1351,0,4,0,0,52,1,16,1,21,0,0,7,0,0,1,3,46,1165,406,0,9,9,189,8,4,0,2,2,3,5,0,3,0,0,6,0,2,1,3,0,3,4,0,6,2,0,3,2,3,5,3,0,5,7,0,0,7,16,0,2,2,5,0,0,0,0,1,4,6,6,0,1,17,56,5,8,5,3,1,1,4,6,0,3,2,1,1,3,2,1,0,1,3,1
2,4,1,1,0,0,53,0,1,0,1,7,3,2,16,28,2,0,0,7,8,4,0,1,0,6,0,0,22,13,6,3,5,15,2,0,1,0,48,6,4,3,0,0,6,0,2,14,4,2,6,0,3,2,6,0,1,0,1,2,1,0,15,0,2,2,6,122,1,0,0,1,2,0,4,4,8,0,3,5,6,0,2,17,2,0,0,2,0,0,2,0,2,1,6,6,1,1,2,2
2,25,1,53,4,15,1,0,1,1,1,2,2,19,1,6,3,2,0,0,7,2,0,1,0,2,4,0,2,0,0,2,25,1,0,2,0,2,1,4,11,3,10,4,0,0,5,206,7,2,1,6,0,88,0,7,16,4,0,8,5,1,5,1,9,1,10,2,0,7,5,0,2,13,0,8,1,0,0,0,4,43,1,6,13,1,6,1,15,1,11,2,40,4,18,8,1,1,2,2
1528,3,5,1,1,20,6,0,6,2,2,0,2,2,5,2,1,9,49,0,2,0,0,3,7,0,8,1,1225,1,0,0,7,1,2,0,1,2,0,9,14,5,2,1,21,1,0,0,2,1,1,11,1,2,0,8,1,1,1,9,4,0,2,2,1,2,9,5,2,0,5,1,2,10,3,7,0,0,0,0,0,0,2,97,1,3,11,6,4,4,2,1,7,7,3,2,1,0,3,0
1,9,3,9,9,62,2,3,1,5,7,0,2,2,1,6,3694,4,4,2,0,0,4,23,2,5,0,0,3,1,1,27,0,1321,2,13,1,0,2,0,2,1,4,28,7,3,4,3,223,0,1,5,26,0,3,2,2,2,4,1,10,2,2,0,2,5,7,22,0,0,2,1,2,0,1,3,16,10,2,2,0,0,2,2,3,2,5,6,3,2,5,1,8,3,0,2,0,2,8,20
1,2,0,12,0,1,21,2,1,0,8,3,1,0,4,2,1,3,2,1,1,1,1,0,1,0,9,0,0,52,0,4,2,1,2,1,1,0,7,1,0,3,0,4,1,2,7,2,0,4,1,10,1,0,2,0,6,1,5,8,6,0,3,18,1,1,2,3,0,0,71,1,2,0,1,8,26,1,0,1,0,1,1,0,1,0,0,6,1,1,0,1,0,0,3,3,20,11,1,1
0,5,0,1,22,1,10,11,0,2,2,3,3,97,8,2,10,0,14,1,1,4,6,17,5,210,2,4,0,3,0,0,8,5,0,5,410,4,0,2,1,0,2,9,14,1,2,0,1,0,5,5,1,0,33,2,0,0,9,1,3,5,0,1,1,2,4,1,0,4,15,10,3,2,0,3,10,1,0,2,0,2,0,2,0,2,0,1,1,4,0,0,8,14,0,7,2,24,32,3
7,0,1,4,0,7,1,6,5,0,2,17,8,0,1,0,5,2,10,1,1,2,0,7,2,0,2,1,2,1,1,5,0,0,0,4,11,119,0,2,1,8,2,2,2,7,1317,3,4,28,0,11,7,9,5,3,9,1,19,7,1,1,2,13,29,2,1,0,1,55,0,1,2,1,4,1,1,1,3,0,4,4,28,0,1,5,2,6,3,1,8,3,2,2,1,2,0,1,0,8
